# prefabPath	hierarchyPath	slotIndex	originalMaterialPath
Assets/_Project/Prefabs/Hackables/Deferred/CCTV.prefab	CCTV	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/Deferred/CCTV.prefab	Base	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/Deferred/CCTV.prefab	Base/Camera	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/Deferred/RotationPlatform.prefab	Riders/Platform	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/Deferred/RotationPlatform.prefab	Riders/DirMarker	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/Gantry.prefab	Gantry	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/HydraulicPress.prefab	Model_Presser/Anchor/tripo_part_4	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/HydraulicPress.prefab	Model_Presser/Anchor/tripo_part_4.001	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/HydraulicPress.prefab	Model_Presser/Anchor/tripo_part_4.006	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/HydraulicPress.prefab	Model_Presser/Anchor/tripo_part_4.008	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/HydraulicPress.prefab	Model_Presser/Anchor/tripo_part_4.013	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/HydraulicPress.prefab	Model_Presser/Anchor/tripo_part_4.014	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/HydraulicPress.prefab	Model_Presser/Anchor/tripo_part_4.020	0	Assets/TallCity/Materials/probe base.mat
Assets/_Project/Prefabs/Hackables/ExternalControl/HydraulicPress.prefab	Model_Presser/Anchor/tripo_part_4.021	0	Assets/TallCity/Materials/probe base.mat
